donor_country,recipient_country,2008,2009,2010,2011,2012
AUT,SEN,0.003894,0.006963,0.002649,0.011958,..
AUT,SYC,..,..,..,..,..
AUT,SLE,0.003894,0.006963,..,..,..
AUT,SOM,..,..,..,..,..
AUT,ZAF,..,0.004178,..,..,..
AUT,SHN,..,..,..,..,..
AUT,SDN,0.002279,..,..,0.009353,..
AUT,SWZ,..,..,..,..,..
AUT,TZA,..,..,..,0.005353,..
AUT,TGO,0.002452,0.004595,0.003311,0.010567,..
AUT,UGA,..,0.001043,0.000795,0.001669,..
AUT,ZMB,..,..,..,..,..
AUT,ZWE,..,..,..,0.306196,..
AUT,AIA,..,..,..,..,..
AUT,ATG,..,..,..,..,..
AUT,ABW,..,..,..,..,..
AUT,BHS,..,..,..,..,..
AUT,BRB,..,..,..,..,..
AUT,BLZ,..,..,..,..,..
AUT,BMU,..,..,..,..,..
AUT,CYM,..,..,..,..,..
AUT,CRI,..,..,..,..,..
AUT,CUB,..,..,..,..,..
AUT,DMA,..,..,..,..,..
AUT,DOM,0.001442,..,..,..,..
AUT,SLV,..,..,..,..,..
AUT,GRD,..,..,..,..,..
AUT,GTM,0.003625,0.002785,0.009787,..,..
AUT,HTI,..,..,..,..,..
AUT,HND,..,..,..,..,..
AUT,JAM,..,..,..,..,..
AUT,MEX,0.016587,..,0.001391,..,..
AUT,MSR,..,..,..,..,..
AUT,ANT,..,..,..,..,..
AUT,NIC,0.027849,0.015556,0.014409,0.069786,..
AUT,PAN,..,..,..,..,..
AUT,KNA,..,..,..,..,..
AUT,LCA,..,..,..,..,..
AUT,VCT,..,..,..,..,..
AUT,TTO,..,..,..,..,..
AUT,TCA,..,..,..,..,..
AUT,VGB,..,..,..,..,..
AUT,ARG,0.005048,0.003481,0.003311,0.003615,..
AUT,BOL,0.007212,..,0.001325,..,..
AUT,BRA,0.006759,0.00871,0.01145,0.023783,0.018959
AUT,CHL,..,0.00181,..,..,..
AUT,COL,..,..,..,..,..
AUT,ECU,..,0.006169,..,..,..
AUT,GUY,..,..,..,..,..
AUT,PRY,0.003606,..,0.003311,..,..
AUT,PER,0.015866,0.012533,0.009934,0.017659,..
AUT,SUR,..,..,..,..,..
AUT,URY,0.002019,0.002367,..,..,..
AUT,VEN,0.003462,0.00181,0.002649,0.004449,..
AUT,BRN,..,..,..,..,..
AUT,KHM,..,..,..,0.008027,0.001208
AUT,CHN,0.007933,0.009748,0.002649,0.002551,..
AUT,IDN,..,..,..,..,..
AUT,KOR,..,..,..,..,..
AUT,PRK,..,..,..,..,..
AUT,LAO,..,..,..,..,..
AUT,MYS,0.003606,..,..,..,..
AUT,MNG,0.010962,0.010049,0.009256,..,..
AUT,PHL,0.001731,..,..,..,..
AUT,SGP,..,..,..,..,..
AUT,THA,..,..,..,..,..
AUT,TLS,..,..,..,..,..
AUT,VNM,0.005337,0.009052,0.008343,0.011716,..
AUT,AFG,..,..,..,..,..
AUT,ARM,0.002164,0.004456,0.007947,0.002086,..
AUT,AZE,..,0.004178,0.004636,..,..
AUT,BGD,0.004904,0.003481,..,..,..
AUT,BTN,..,..,..,..,..
AUT,GEO,0.001731,0.008355,0.004636,0.002225,..
AUT,IND,0.008654,0.017407,0.002649,0.001557,..
AUT,KAZ,0.003894,0.006267,0.002649,0.00431,..
AUT,KGZ,0.006491,0.004178,..,0.002225,..
AUT,MDV,..,..,..,..,..
AUT,MMR,..,..,..,..,..
AUT,NPL,0.005048,..,..,..,..
AUT,PAK,..,0.001287,..,..,..
AUT,LKA,..,..,..,..,..
AUT,TJK,..,..,0.003363,0.005562,..
AUT,TKM,..,..,..,..,..
AUT,UZB,0.004327,0.004874,..,0.004449,..
AUT,BHR,..,..,..,..,..
AUT,IRN,0.003606,0.002089,0.004636,0.002375,..
AUT,IRQ,..,..,..,..,..
AUT,ISR,..,..,..,..,..
AUT,JOR,..,..,..,..,..
AUT,KWT,..,..,..,..,..
AUT,LBN,..,..,..,..,..
AUT,OMN,..,..,..,..,..
AUT,QAT,..,..,..,..,..
AUT,SAU,..,..,..,..,..
AUT,SYR,..,..,..,..,..
AUT,ARE,..,..,..,..,..
AUT,PSZ,0.010818,0.010444,..,0.649426,..
AUT,YEM,0.003606,0.002507,..,..,..
AUT,COK,..,..,..,..,..
AUT,FJI,..,..,..,..,..
AUT,PYF,..,..,..,..,..
AUT,KIR,..,..,..,..,..
AUT,MHL,..,..,..,..,..
AUT,FSM,..,..,..,..,..
AUT,NRU,..,..,..,..,..
AUT,NCL,..,..,..,..,..
AUT,NIU,..,..,..,..,..
AUT,PLW,..,..,..,..,..
AUT,PNG,0.093047,0.090106,0.068958,0.095138,..
AUT,WSM,..,..,..,..,..
AUT,SLB,..,..,..,..,..
AUT,TKL,..,..,..,..,..
AUT,TON,..,..,..,..,..
AUT,TUV,..,..,..,..,..
AUT,VUT,..,..,..,..,..
BEL,ALB,..,..,..,..,..
BEL,BLR,..,..,..,..,..
BEL,BIH,..,..,..,..,..
BEL,HRV,..,..,..,..,..
BEL,CYP,..,..,..,..,..
BEL,MKD,..,..,..,..,..
BEL,MLT,..,..,..,..,..
BEL,MDA,..,..,..,..,..
BEL,MNE,..,..,..,..,..
BEL,SRB,..,..,..,..,..
BEL,SVN,..,..,..,..,..
BEL,TUR,..,..,..,..,..
BEL,UKR,..,..,..,..,..
BEL,DZA,..,..,..,..,..
BEL,EGY,..,..,..,..,..
BEL,LBY,..,..,..,..,..
BEL,MAR,0.061856,0.035697,..,..,..
BEL,TUN,..,..,..,..,..
BEL,AGO,..,..,..,..,..
BEL,BEN,0.061856,0.061195,0.057385,0.043024,..
BEL,BWA,..,..,..,..,..
BEL,BFA,0.068707,0.684829,..,0.613517,..
BEL,BDI,9.365364,0.13284,0.176082,0.306155,0.188086
BEL,CMR,..,..,..,..,..
BEL,CPV,..,..,..,..,..
BEL,CAF,..,..,..,..,..
BEL,TCD,..,..,..,..,..
BEL,COM,..,..,..,..,..
BEL,CDZ,0.928716,29.768301,2.273262,8.610384,1.389921
BEL,COG,..,..,..,..,..
BEL,CIV,..,..,..,..,..
BEL,DJI,..,..,..,..,..
BEL,GNQ,..,..,..,..,..
BEL,ERI,..,..,..,..,..
BEL,ETH,..,..,..,..,..
BEL,GAB,..,..,..,..,..
BEL,GMB,..,..,..,..,..
BEL,GHA,..,..,..,..,..
BEL,GIN,..,..,..,..,..
BEL,GNB,..,..,..,..,..
BEL,KEN,..,..,..,..,..
BEL,LSO,..,..,..,..,..
BEL,LBR,..,..,..,..,..
BEL,MDG,..,..,..,..,..
BEL,MWI,..,..,..,..,..
BEL,MLI,0.035725,0.003133,0.379244,0.00245,0.046452
BEL,MRT,..,..,..,..,..
BEL,MUS,..,..,..,..,..
BEL,MOZ,..,..,..,1.390434,1.285347
BEL,NAM,..,..,..,..,..
BEL,NER,0.050788,0.566886,..,..,..
BEL,NGA,..,..,..,..,..
BEL,RWA,0.23457,0.199517,0.165924,0.089777,7.712082
BEL,STP,..,..,..,..,..
BEL,SEN,..,..,..,..,..
BEL,SYC,..,..,..,..,..
BEL,SLE,..,..,..,..,..
BEL,SOM,..,..,..,..,..
BEL,ZAF,0.097332,0.056815,0.089377,..,..
BEL,SHN,..,..,..,..,..
BEL,SDN,..,..,..,..,..
BEL,SWZ,..,..,..,..,..
BEL,TZA,..,..,..,..,..
BEL,TGO,..,..,..,..,..
BEL,UGA,..,..,5.298013,0.298635,0.264465
BEL,ZMB,..,..,..,..,..
BEL,ZWE,..,..,..,..,..
BEL,AIA,..,..,..,..,..
BEL,ATG,..,..,..,..,..
BEL,ABW,..,..,..,..,..
BEL,BHS,..,..,..,..,..
BEL,BRB,..,..,..,..,..
BEL,BLZ,..,..,..,..,..
BEL,BMU,..,..,..,..,..
BEL,CYM,..,..,..,..,..
BEL,CRI,..,..,..,..,..
BEL,CUB,..,..,..,..,..
BEL,DMA,..,..,..,..,..
BEL,DOM,..,..,..,..,..
BEL,SLV,..,..,..,..,..
BEL,GRD,..,..,..,..,..
BEL,GTM,..,..,..,..,..
BEL,HTI,..,0.004317,..,..,..
BEL,HND,..,..,..,..,..
BEL,JAM,..,..,..,..,..
BEL,MEX,..,..,..,..,..
BEL,MSR,..,..,..,..,..
BEL,ANT,..,..,..,..,..
BEL,NIC,..,..,0.05298,..,..
BEL,PAN,..,..,..,..,..
BEL,KNA,..,..,..,..,..
BEL,LCA,..,..,..,..,..
BEL,VCT,..,..,..,..,..
BEL,TTO,..,..,..,..,..
BEL,TCA,..,..,..,..,..
BEL,VGB,..,..,..,..,..
BEL,ARG,..,..,..,..,..
BEL,BOL,..,..,..,..,..
BEL,BRA,..,..,..,..,..
BEL,CHL,..,..,..,..,..
BEL,COL,..,..,..,..,..
BEL,ECU,..,0.183378,0.214009,..,..
BEL,GUY,..,..,..,..,..
BEL,PRY,..,..,..,..,..
BEL,PER,0.001039,..,0.075909,..,..
BEL,SUR,..,..,..,..,..
BEL,URY,..,..,..,..,..
BEL,VEN,..,..,..,..,..
BEL,BRN,..,..,..,..,..
BEL,KHM,..,..,..,0.032197,0.026157
BEL,CHN,..,..,..,..,..
BEL,IDN,..,..,..,..,..
BEL,KOR,..,..,..,..,..
BEL,PRK,..,..,..,..,..
BEL,LAO,..,..,..,..,..
BEL,MYS,..,..,..,..,..
BEL,MNG,..,..,..,..,..
BEL,PHL,..,..,..,..,..
BEL,SGP,..,..,..,..,..
BEL,THA,..,..,..,..,..
BEL,TLS,..,..,..,..,..
